municipio,uf,ng
Acrelândia,AC,14
Assis Brasil,AC,14
Brasileia,AC,14
Bujari,AC,14
Capixaba,AC,10
Cruzeiro do Sul,AC,14
Epitaciolândia,AC,12
Feijó,AC,16
Jordão,AC,10
Manoel Urbano,AC,14
Marechal Thaumaturgo,AC,12
Mâncio Lima,AC,14
Plácido de Castro,AC,14
Porto Acre,AC,14
Porto Walter,AC,12
Rio Branco,AC,14
Rodrigues Alves,AC,14
Santa Rosa do Purus,AC,12
Sena Madureira,AC,14
Senador Guiomard,AC,14
Tarauacá,AC,14
Xapuri,AC,12
Anadia,AL,2
Arapiraca,AL,2
Atalaia,AL,2
Barra de Santo Antônio,AL,2
Barra de São Miguel,AL,2
Batalha,AL,4
Belo Monte,AL,4
Belém,AL,2
Boca da Mata,AL,2
Branquinha,AL,2
Cacimbinhas,AL,4
Cajueiro,AL,2
Campestre,AL,2
Campo Alegre,AL,2
Campo Grande,AL,2
Canapi,AL,4
Capela,AL,2
Carneiros,AL,4
Chã Preta,AL,2
Coité do Noia,AL,2
Colônia Leopoldina,AL,2
Coqueiro Seco,AL,2
Coruripe,AL,2
Craíbas,AL,2
Delmiro Gouveia,AL,4
Dois Riachos,AL,4
Estrela de Alagoas,AL,2
Feira Grande,AL,2
Feliz Deserto,AL,2
Flexeiras,AL,2
Girau do Ponciano,AL,2
Ibateguara,AL,2
Igaci,AL,2
Igreja Nova,AL,2
Inhapi,AL,4
Jacaré dos Homens,AL,4
Jacuípe,AL,2
Japaratinga,AL,2
Jaramataia,AL,2
Jequiá da Praia,AL,2
Joaquim Gomes,AL,2
Jundiá,AL,2
Junqueiro,AL,2
Lagoa da Canoa,AL,2
Limoeiro de Anadia,AL,2
Maceió,AL,2
Major Isidoro,AL,4
Mar Vermelho,AL,2
Maragogi,AL,2
Maravilha,AL,4
Marechal Deodoro,AL,2
Maribondo,AL,2
Mata Grande,AL,4
Matriz de Camaragibe,AL,2
Messias,AL,2
Minador do Negrão,AL,4
Monteirópolis,AL,4
Murici,AL,2
Novo Lino,AL,2
Olho d’Água Grande,AL,2
Olho d’Água das Flores,AL,4
Olho d’Água do Casado,AL,4
Olivença,AL,4
Ouro Branco,AL,4
Palestina,AL,4
Palmeira dos Índios,AL,2
Pariconha,AL,2
Paripueira,AL,2
Passo de Camaragibe,AL,2
Paulo Jacinto,AL,2
Penedo,AL,2
Piaçabuçu,AL,2
Pilar,AL,2
Pindoba,AL,2
Piranhas,AL,4
Porto Calvo,AL,2
Porto Real do Colégio,AL,2
Porto de Pedras,AL,2
Poço das Trincheiras,AL,4
Pão de Açúcar,AL,4
Quebrângulo,AL,2
Rio Largo,AL,2
Roteiro,AL,2
Santa Luzia do Norte,AL,2
Santana do Ipanema,AL,4
Santana do Mundaú,AL,2
Satuba,AL,2
Senador Rui Palmeira,AL,4
São Brás,AL,2
São José da Laje,AL,2
São José da Tapera,AL,4
São Luís do Quitunde,AL,2
São Miguel dos Campos,AL,2
São Miguel dos Milagres,AL,2
São Sebastião,AL,2
Tanque d’Arca,AL,2
Taquarana,AL,2
Teotônio Vilela,AL,2
Traipu,AL,2
União dos Palmares,AL,2
Viçosa,AL,2
Água Branca,AL,4
Alvarães,AM,20
Amaturá,AM,18
Anamã,AM,22
Anori,AM,28
Apuí,AM,24
Atalaia do Norte,AM,20
Autazes,AM,22
Barcelos,AM,20
Barreirinha,AM,20
Benjamin Constant,AM,18
Beruri,AM,30
Boa Vista do Ramos,AM,20
Boca do Acre,AM,16
Borba,AM,26
Caapiranga,AM,24
Canutama,AM,18
Carauari,AM,20
Careiro,AM,26
Careiro da Várzea,AM,24
Coari,AM,24
Codajás,AM,28
Eirunepé,AM,14
Envira,AM,16
Fonte Boa,AM,18
Guajará,AM,16
Humaitá,AM,22
Ipixuna,AM,14
Iranduba,AM,28
Itacoatiara,AM,24
Itamarati,AM,16
Itapiranga,AM,14
Japurá,AM,20
Juruá,AM,20
Jutaí,AM,16
Lábrea,AM,16
Manacapuru,AM,26
Manaquiri,AM,28
Manaus,AM,32
Manicoré,AM,24
Maraã,AM,22
Maués,AM,24
Nhamundá,AM,18
Nova Olinda do Norte,AM,22
Novo Airão,AM,28
Novo Aripuanã,AM,22
Parintins,AM,20
Pauini,AM,16
Presidente Figueiredo,AM,20
Rio Preto da Eva,AM,26
Santa Isabel do Rio Negro,AM,20
Santo Antônio do Içá,AM,20
Silves,AM,16
São Gabriel da Cachoeira,AM,20
São Paulo de Olivença,AM,18
São Sebastião do Uatumã,AM,16
Tabatinga,AM,16
Tapauá,AM,24
Tefé,AM,22
Tonantins,AM,20
Uarini,AM,22
Urucará,AM,14
Urucurituba,AM,18
Amapá,AP,4
Calçoene,AP,6
Cutias,AP,4
Ferreira Gomes,AP,8
Itaubal,AP,4
Laranjal do Jari,AP,12
Macapá,AP,6
Mazagão,AP,12
Oiapoque,AP,6
Pedra Branca do Amapari,AP,10
Porto Grande,AP,12
Pracuúba,AP,6
Santana,AP,8
Serra do Navio,AP,10
Tartarugalzinho,AP,8
Vitória do Jari,AP,12
Abaré,BA,4
Abaíra,BA,6
Acajutiba,BA,2
Adustina,BA,2
Aiquara,BA,6
Alagoinhas,BA,4
Alcobaça,BA,4
Almadina,BA,4
Amargosa,BA,2
Amélia Rodrigues,BA,4
América Dourada,BA,6
Anagé,BA,4
Andaraí,BA,6
Andorinha,BA,4
Angical,BA,10
Anguera,BA,4
Antas,BA,2
Antônio Cardoso,BA,4
Antônio Gonçalves,BA,4
Aporá,BA,2
Apuarema,BA,4
Aracatu,BA,4
Araci,BA,4
Aramari,BA,4
Arataca,BA,4
Aratuípe,BA,2
Araçás,BA,4
Aurelino Leal,BA,4
Baianópolis,BA,12
Baixa Grande,BA,4
Banzaê,BA,4
Barra,BA,12
Barra da Estiva,BA,6
Barra do Choça,BA,4
Barra do Mendes,BA,6
Barra do Rocha,BA,4
Barreiras,BA,20
Barro Alto,BA,4
Barro Preto,BA,4
Barrocas,BA,2
Belmonte,BA,6
Belo Campo,BA,4
Biritinga,BA,4
Boa Nova,BA,6
Boa Vista do Tupim,BA,6
Bom Jesus da Lapa,BA,14
Bom Jesus da Serra,BA,4
Boninal,BA,4
Bonito,BA,4
Boquira,BA,14
Botuporã,BA,6
Brejolândia,BA,12
Brejões,BA,2
Brotas de Macaúbas,BA,10
Brumado,BA,6
Buerarema,BA,2
Buritirama,BA,8
Caatiba,BA,4
Cabaceiras do Paraguaçu,BA,4
Cachoeira,BA,4
Caculé,BA,4
Caetanos,BA,4
Caetité,BA,6
Cafarnaum,BA,4
Cairu,BA,2
Caldeirão Grande,BA,4
Camacan,BA,4
Camamu,BA,2
Camaçari,BA,2
Campo Alegre de Lourdes,BA,8
Campo Formoso,BA,6
Canarana,BA,4
Canavieiras,BA,6
Candeal,BA,4
Candeias,BA,2
Candiba,BA,6
Cansanção,BA,4
Canudos,BA,4
Canápolis,BA,10
Capela do Alto Alegre,BA,4
Capim Grosso,BA,2
Caravelas,BA,6
Caraíbas,BA,4
Cardeal da Silva,BA,2
Carinhanha,BA,8
Casa Nova,BA,6
Castro Alves,BA,4
Catolândia,BA,10
Catu,BA,2
Caturama,BA,6
Caém,BA,4
Central,BA,6
Chorrochó,BA,4
Cipó,BA,4
Coaraci,BA,4
Cocos,BA,14
Conceição da Feira,BA,4
Conceição do Almeida,BA,2
Conceição do Coité,BA,4
Conceição do Jacuípe,BA,4
Conde,BA,2
Condeúba,BA,4
Contendas do Sincorá,BA,4
Coração de Maria,BA,4
Cordeiros,BA,4
Coribe,BA,10
Coronel João Sá,BA,4
Correntina,BA,16
Cotegipe,BA,14
Cravolândia,BA,4
Cristópolis,BA,14
Crisópolis,BA,4
Cruz das Almas,BA,4
Curaçá,BA,6
Cândido Sales,BA,4
Cícero Dantas,BA,2
Dias d’Ávila,BA,2
Dom Basílio,BA,6
Dom Macedo Costa,BA,2
Dário Meira,BA,6
Elísio Medrado,BA,2
Encruzilhada,BA,6
Entre Rios,BA,4
Esplanada,BA,2
Euclides da Cunha,BA,4
Eunápolis,BA,6
Feira da Mata,BA,8
Feira de Santana,BA,4
Filadélfia,BA,4
Firmino Alves,BA,4
Floresta Azul,BA,4
Formosa do Rio Preto,BA,22
Fátima,BA,2
Gandu,BA,2
Gavião,BA,2
Gentio do Ouro,BA,10
Glória,BA,6
Gongogi,BA,4
Governador Mangabeira,BA,4
Guajeru,BA,4
Guanambi,BA,6
Guaratinga,BA,6
Heliópolis,BA,2
Iaçu,BA,4
Ibiassucê,BA,4
Ibicaraí,BA,4
Ibicoara,BA,6
Ibicuí,BA,4
Ibipeba,BA,6
Ibipitanga,BA,8
Ibiquera,BA,4
Ibirapitanga,BA,2
Ibirapuã,BA,6
Ibirataia,BA,4
Ibitiara,BA,10
Ibititá,BA,4
Ibotirama,BA,14
Ichu,BA,4
Igaporã,BA,6
Igrapiúna,BA,2
Iguaí,BA,4
Ilhéus,BA,4
Inhambupe,BA,4
Ipecaetá,BA,4
Ipiaú,BA,4
Ipirá,BA,4
Ipupiara,BA,8
Irajuba,BA,4
Iramaia,BA,6
Iraquara,BA,4
Irará,BA,4
Irecê,BA,6
Itabela,BA,6
Itaberaba,BA,4
Itabuna,BA,2
Itacaré,BA,2
Itaeté,BA,6
Itagi,BA,8
Itagibá,BA,6
Itagimirim,BA,6
Itaguaçu da Bahia,BA,10
Itaju do Colônia,BA,4
Itajuípe,BA,4
Itamaraju,BA,8
Itamari,BA,4
Itambé,BA,6
Itanagra,BA,2
Itanhém,BA,6
Itaparica,BA,4
Itapebi,BA,6
Itapetinga,BA,4
Itapicuru,BA,4
Itapitanga,BA,4
Itapé,BA,4
Itaquara,BA,4
Itarantim,BA,4
Itatim,BA,2
Itiruçu,BA,4
Itiúba,BA,4
Itororó,BA,4
Ituaçu,BA,6
Ituberá,BA,2
Iuiu,BA,8
Jaborandi,BA,16
Jacaraci,BA,4
Jacobina,BA,4
Jaguaquara,BA,4
Jaguarari,BA,4
Jaguaripe,BA,4
Jandaíra,BA,2
Jequié,BA,8
Jeremoabo,BA,4
Jiquiriçá,BA,2
Jitaúna,BA,6
João Dourado,BA,6
Juazeiro,BA,6
Jucuruçu,BA,8
Jussara,BA,6
Jussari,BA,4
Jussiape,BA,6
Lafaiete Coutinho,BA,6
Lagoa Real,BA,6
Laje,BA,2
Lajedinho,BA,4
Lajedo do Tabocal,BA,6
Lajedão,BA,6
Lamarão,BA,2
Lapão,BA,6
Lauro de Freitas,BA,2
Lençóis,BA,4
Licínio de Almeida,BA,6
Livramento de Nossa Senhora,BA,6
Luís Eduardo Magalhães,BA,18
Macajuba,BA,2
Macarani,BA,6
Macaúbas,BA,12
Macururé,BA,6
Madre de Deus,BA,4
Maetinga,BA,4
Maiquinique,BA,4
Mairi,BA,4
Malhada,BA,8
Malhada de Pedras,BA,6
Manoel Vitorino,BA,8
Mansidão,BA,8
Maracás,BA,8
Maragogipe,BA,4
Maraú,BA,2
Marcionílio Souza,BA,6
Mascote,BA,6
Mata de São João,BA,2
Matina,BA,6
Medeiros Neto,BA,6
Miguel Calmon,BA,4
Milagres,BA,4
Mirangaba,BA,4
Mirante,BA,6
Monte Santo,BA,4
Morpará,BA,12
Morro do Chapéu,BA,6
Mortugaba,BA,4
Mucugê,BA,6
Mucuri,BA,6
Mulungu do Morro,BA,4
Mundo Novo,BA,4
Muniz Ferreira,BA,2
Muquém do São Francisco,BA,16
Muritiba,BA,4
Mutuípe,BA,2
Nazaré,BA,4
Nilo Peçanha,BA,2
Nordestina,BA,4
Nova Canaã,BA,4
Nova Fátima,BA,4
Nova Ibiá,BA,2
Nova Itarana,BA,4
Nova Redenção,BA,4
Nova Soure,BA,4
Nova Viçosa,BA,6
Novo Horizonte,BA,6
Novo Triunfo,BA,2
Olindina,BA,4
Oliveira dos Brejinhos,BA,14
Ouriçangas,BA,4
Ourolândia,BA,4
Palmas de Monte Alto,BA,8
Palmeiras,BA,4
Paramirim,BA,6
Paratinga,BA,16
Paripiranga,BA,2
Pau Brasil,BA,4
Paulo Afonso,BA,4
Pedro Alexandre,BA,4
Pedrão,BA,4
Piatã,BA,6
Pilão Arcado,BA,10
Pindaí,BA,6
Pindobaçu,BA,4
Pintadas,BA,4
Piraí do Norte,BA,2
Piripá,BA,4
Piritiba,BA,4
Planaltino,BA,4
Planalto,BA,4
Pojuca,BA,2
Ponto Novo,BA,4
Porto Seguro,BA,6
Potiraguá,BA,6
Poções,BA,4
Prado,BA,6
Presidente Dutra,BA,6
Presidente Jânio Quadros,BA,4
Presidente Tancredo Neves,BA,2
Pé de Serra,BA,4
Queimadas,BA,4
Quijingue,BA,4
Quixabeira,BA,2
Rafael Jambeiro,BA,4
Remanso,BA,6
Retirolândia,BA,2
Riacho de Santana,BA,10
Riachão das Neves,BA,14
Riachão do Jacuípe,BA,4
Ribeira do Amparo,BA,4
Ribeira do Pombal,BA,4
Ribeirão do Largo,BA,6
Rio Real,BA,2
Rio de Contas,BA,6
Rio do Antônio,BA,6
Rio do Pires,BA,6
Rodelas,BA,6
Ruy Barbosa,BA,4
Salinas da Margarida,BA,4
Salvador,BA,4
Santa Brígida,BA,4
Santa Bárbara,BA,2
Santa Cruz Cabrália,BA,6
Santa Cruz da Vitória,BA,4
Santa Inês,BA,4
Santa Luzia,BA,4
Santa Maria da Vitória,BA,10
Santa Rita de Cássia,BA,12
Santa Terezinha,BA,4
Santaluz,BA,4
Santana,BA,10
Santanópolis,BA,4
Santo Amaro,BA,4
Santo Antônio de Jesus,BA,2
Santo Estêvão,BA,4
Sapeaçu,BA,4
Saubara,BA,4
Saúde,BA,4
Seabra,BA,4
Sebastião Laranjeiras,BA,8
Senhor do Bonfim,BA,4
Sento Sé,BA,8
Serra Dourada,BA,10
Serra Preta,BA,4
Serra do Ramalho,BA,8
Serrinha,BA,2
Serrolândia,BA,2
Simões Filho,BA,2
Sobradinho,BA,6
Souto Soares,BA,4
Sátiro Dias,BA,4
São Desidério,BA,18
São Domingos,BA,4
São Felipe,BA,2
São Francisco do Conde,BA,4
São Félix,BA,4
São Félix do Coribe,BA,8
São Gabriel,BA,6
São Gonçalo dos Campos,BA,4
São José da Vitória,BA,4
São José do Jacuípe,BA,2
São Miguel das Matas,BA,2
São Sebastião do Passé,BA,4
Sítio do Mato,BA,16
Sítio do Quinto,BA,2
Tabocas do Brejo Velho,BA,12
Tanhaçu,BA,4
Tanque Novo,BA,6
Tanquinho,BA,4
Taperoá,BA,2
Tapiramutá,BA,2
Teixeira de Freitas,BA,6
Teodoro Sampaio,BA,4
Teofilândia,BA,4
Teolândia,BA,2
Terra Nova,BA,4
Tremedal,BA,4
Tucano,BA,4
Uauá,BA,4
Ubaitaba,BA,2
Ubatã,BA,2
Ubaíra,BA,4
Uibaí,BA,6
Umburanas,BA,4
Una,BA,4
Urandi,BA,6
Uruçuca,BA,2
Utinga,BA,4
Valente,BA,4
Valença,BA,2
Varzedo,BA,2
Vera Cruz,BA,4
Vereda,BA,6
Vitória da Conquista,BA,4
Várzea Nova,BA,4
Várzea da Roça,BA,2
Várzea do Poço,BA,4
Wagner,BA,4
Wanderley,BA,14
Wenceslau Guimarães,BA,2
Xique-Xique,BA,10
Água Fria,BA,4
Érico Cardoso,BA,6
Abaiara,CE,8
Acarape,CE,2
Acaraú,CE,4
Acopiara,CE,4
Aiuaba,CE,4
Alcântaras,CE,8
Altaneira,CE,4
Alto Santo,CE,6
Amontada,CE,4
Antonina do Norte,CE,4
Apuiarés,CE,4
Aquiraz,CE,2
Aracati,CE,4
Aracoiaba,CE,4
Ararendá,CE,4
Araripe,CE,4
Aratuba,CE,4
Arneiroz,CE,2
Assaré,CE,4
Aurora,CE,6
Baixio,CE,4
Banabuiú,CE,4
Barbalha,CE,6
Barreira,CE,2
Barro,CE,6
Barroquinha,CE,6
Baturité,CE,4
Beberibe,CE,4
Bela Cruz,CE,6
Boa Viagem,CE,4
Brejo Santo,CE,8
Camocim,CE,6
Campos Sales,CE,4
Canindé,CE,6
Capistrano,CE,4
Caridade,CE,4
Caririaçu,CE,6
Cariré,CE,8
Cariús,CE,6
Carnaubal,CE,6
Cascavel,CE,4
Catarina,CE,2
Catunda,CE,8
Caucaia,CE,2
Cedro,CE,8
Chaval,CE,6
Chorozinho,CE,2
Choró,CE,4
Coreaú,CE,8
Crateús,CE,6
Crato,CE,4
Croatá,CE,6
Cruz,CE,4
Deputado Irapuan Pinheiro,CE,4
Ereré,CE,6
Eusébio,CE,2
Farias Brito,CE,4
Forquilha,CE,8
Fortaleza,CE,2
Fortim,CE,2
Frecheirinha,CE,8
General Sampaio,CE,4
Granja,CE,8
Granjeiro,CE,6
Graça,CE,6
Groaíras,CE,8
Guaiúba,CE,2
Guaraciaba do Norte,CE,6
Guaramiranga,CE,2
Hidrolândia,CE,8
Horizonte,CE,2
Ibaretama,CE,4
Ibiapina,CE,8
Ibicuitinga,CE,4
Icapuí,CE,4
Icó,CE,6
Iguatu,CE,6
Independência,CE,6
Ipaporanga,CE,4
Ipaumirim,CE,6
Ipu,CE,6
Ipueiras,CE,6
Iracema,CE,6
Irauçuba,CE,6
Itaitinga,CE,2
Itaiçaba,CE,2
Itapajé,CE,4
Itapipoca,CE,2
Itapiúna,CE,4
Itarema,CE,2
Itatira,CE,4
Jaguaretama,CE,6
Jaguaribara,CE,6
Jaguaribe,CE,6
Jaguaruana,CE,4
Jardim,CE,6
Jati,CE,8
Jijoca de Jericoacoara,CE,4
Juazeiro do Norte,CE,6
Jucás,CE,4
Lavras da Mangabeira,CE,8
Limoeiro do Norte,CE,6
Madalena,CE,4
Maracanaú,CE,2
Maranguape,CE,2
Marco,CE,6
Martinópole,CE,6
Massapê,CE,6
Mauriti,CE,8
Meruoca,CE,6
Milagres,CE,8
Milhã,CE,4
Miraíma,CE,4
Missão Velha,CE,6
Mombaça,CE,4
Monsenhor Tabosa,CE,4
Morada Nova,CE,6
Moraújo,CE,8
Morrinhos,CE,4
Mucambo,CE,8
Mulungu,CE,4
Nova Olinda,CE,4
Nova Russas,CE,8
Novo Oriente,CE,6
Ocara,CE,4
Orós,CE,6
Pacajus,CE,2
Pacatuba,CE,2
Pacoti,CE,2
Pacujá,CE,8
Palhano,CE,4
Palmácia,CE,2
Paracuru,CE,2
Paraipaba,CE,2
Parambu,CE,4
Paramoti,CE,4
Pedra Branca,CE,4
Penaforte,CE,6
Pentecoste,CE,4
Pereiro,CE,6
Pindoretama,CE,2
Piquet Carneiro,CE,2
Pires Ferreira,CE,6
Poranga,CE,6
Porteiras,CE,6
Potengi,CE,4
Potiretama,CE,6
Quiterianópolis,CE,4
Quixadá,CE,4
Quixelô,CE,6
Quixeramobim,CE,4
Quixeré,CE,4
Redenção,CE,2
Reriutaba,CE,8
Russas,CE,4
Saboeiro,CE,4
Salitre,CE,6
Santa Quitéria,CE,6
Santana do Acaraú,CE,6
Santana do Cariri,CE,4
Senador Pompeu,CE,4
Senador Sá,CE,6
Sobral,CE,8
Solonópole,CE,4
São Benedito,CE,6
São Gonçalo do Amarante,CE,2
São João do Jaguaribe,CE,6
São Luís do Curu,CE,4
Tabuleiro do Norte,CE,6
Tamboril,CE,8
Tarrafas,CE,4
Tauá,CE,4
Tejuçuoca,CE,6
Tianguá,CE,10
Trairi,CE,2
Tururu,CE,4
Ubajara,CE,8
Umari,CE,6
Umirim,CE,4
Uruburetama,CE,2
Uruoca,CE,8
Varjota,CE,8
Viçosa do Ceará,CE,10
Várzea Alegre,CE,8
Brasília,DF,16
Afonso Cláudio,ES,10
Alegre,ES,14
Alfredo Chaves,ES,12
Alto Rio Novo,ES,8
Anchieta,ES,10
Apiacá,ES,12
Aracruz,ES,8
Atílio Vivácqua,ES,10
Baixo Guandu,ES,8
Barra de São Francisco,ES,10
Boa Esperança,ES,8
Bom Jesus do Norte,ES,12
Brejetuba,ES,10
Cachoeiro de Itapemirim,ES,12
Cariacica,ES,6
Castelo,ES,12
Colatina,ES,8
Conceição da Barra,ES,6
Conceição do Castelo,ES,12
Divino de São Lourenço,ES,12
Domingos Martins,ES,10
Dores do Rio Preto,ES,14
Ecoporanga,ES,10
Fundão,ES,8
Governador Lindenberg,ES,8
Guarapari,ES,8
Guaçuí,ES,14
Ibatiba,ES,12
Ibiraçu,ES,8
Ibitirama,ES,12
Iconha,ES,10
Irupi,ES,12
Itaguaçu,ES,6
Itapemirim,ES,10
Itarana,ES,6
Iúna,ES,12
Jaguaré,ES,6
Jerônimo Monteiro,ES,12
João Neiva,ES,8
Laranja da Terra,ES,6
Linhares,ES,8
Mantenópolis,ES,8
Marataízes,ES,8
Marechal Floriano,ES,8
Marilândia,ES,8
Mimoso do Sul,ES,12
Montanha,ES,6
Mucurici,ES,6
Muniz Freire,ES,12
Muqui,ES,12
Nova Venécia,ES,12
Pancas,ES,8
Pedro Canário,ES,4
Pinheiros,ES,6
Piúma,ES,8
Ponto Belo,ES,6
Presidente Kennedy,ES,10
Rio Bananal,ES,8
Rio Novo do Sul,ES,10
Santa Leopoldina,ES,8
Santa Maria de Jetibá,ES,8
Santa Teresa,ES,8
Serra,ES,8
Sooretama,ES,6
São Domingos do Norte,ES,8
São Gabriel da Palha,ES,10
São José do Calçado,ES,14
São Mateus,ES,10
São Roque do Canaã,ES,6
Vargem Alta,ES,12
Venda Nova do Imigrante,ES,10
Viana,ES,6
Vila Pavão,ES,12
Vila Valério,ES,8
Vila Velha,ES,6
Vitória,ES,6
Água Doce do Norte,ES,8
Águia Branca,ES,10
Abadia de Goiás,GO,14
Abadiânia,GO,16
Acreúna,GO,14
Adelândia,GO,16
Alexânia,GO,16
Aloândia,GO,12
Alto Horizonte,GO,16
Alto Paraíso de Goiás,GO,14
Alvorada do Norte,GO,18
Amaralina,GO,18
Americano do Brasil,GO,16
Amorinópolis,GO,14
Anhanguera,GO,12
Anicuns,GO,18
Anápolis,GO,16
Aparecida de Goiânia,GO,14
Aparecida do Rio Doce,GO,16
Aporé,GO,18
Aragarças,GO,16
Aragoiânia,GO,14
Araguapaz,GO,14
Araçu,GO,14
Arenópolis,GO,12
Aruanã,GO,12
Aurilândia,GO,14
Avelinópolis,GO,14
Baliza,GO,16
Barro Alto,GO,16
Bela Vista de Goiás,GO,14
Bom Jardim de Goiás,GO,14
Bom Jesus de Goiás,GO,14
Bonfinópolis,GO,16
Bonópolis,GO,16
Brazabrantes,GO,16
Britânia,GO,12
Buriti Alegre,GO,18
Buriti de Goiás,GO,12
Buritinópolis,GO,16
Cabeceiras,GO,12
Cachoeira Alta,GO,14
Cachoeira Dourada,GO,14
Cachoeira de Goiás,GO,14
Caiapônia,GO,18
Caldas Novas,GO,16
Caldazinha,GO,14
Campestre de Goiás,GO,14
Campinaçu,GO,16
Campinorte,GO,16
Campo Alegre de Goiás,GO,14
Campo Limpo de Goiás,GO,16
Campos Belos,GO,14
Campos Verdes,GO,14
Carmo do Rio Verde,GO,22
Castelândia,GO,14
Catalão,GO,14
Caturaí,GO,14
Cavalcante,GO,18
Caçu,GO,16
Ceres,GO,20
Cezarina,GO,14
Chapadão do Céu,GO,22
Cidade Ocidental,GO,16
Cocalzinho de Goiás,GO,16
Colinas do Sul,GO,16
Corumbaíba,GO,16
Corumbá de Goiás,GO,16
Cristalina,GO,14
Cristianópolis,GO,14
Crixás,GO,18
Cromínia,GO,14
Cumari,GO,12
Córrego do Ouro,GO,14
Damianópolis,GO,16
Damolândia,GO,16
Davinópolis,GO,14
Diorama,GO,14
Divinópolis de Goiás,GO,16
Doverlândia,GO,20
Edealina,GO,16
Edeia,GO,16
Estrela do Norte,GO,18
Faina,GO,16
Fazenda Nova,GO,14
Firminópolis,GO,16
Flores de Goiás,GO,16
Formosa,GO,14
Formoso,GO,16
Gameleira de Goiás,GO,16
Goiandira,GO,14
Goianira,GO,14
Goianápolis,GO,16
Goianésia,GO,18
Goiatuba,GO,16
Goiás,GO,16
Goiânia,GO,16
Gouvelândia,GO,14
Guapó,GO,14
Guarani de Goiás,GO,18
Guaraíta,GO,16
Guarinos,GO,16
Heitoraí,GO,16
Hidrolina,GO,14
Hidrolândia,GO,14
Iaciara,GO,18
Inaciolândia,GO,12
Indiara,GO,14
Inhumas,GO,16
Ipameri,GO,16
Ipiranga de Goiás,GO,18
Iporá,GO,14
Israelândia,GO,14
Itaberaí,GO,14
Itaguari,GO,14
Itaguaru,GO,16
Itajá,GO,16
Itapaci,GO,16
Itapirapuã,GO,14
Itapuranga,GO,18
Itarumã,GO,16
Itauçu,GO,16
Itumbiara,GO,16
Ivolândia,GO,14
Jandaia,GO,14
Jaraguá,GO,20
Jataí,GO,18
Jaupaci,GO,14
Jesúpolis,GO,16
Joviânia,GO,14
Jussara,GO,12
Lagoa Santa,GO,16
Leopoldo de Bulhões,GO,16
Luziânia,GO,16
Mairipotaba,GO,14
Mambaí,GO,16
Mara Rosa,GO,18
Marzagão,GO,16
Matrinchã,GO,14
Maurilândia,GO,14
Mimoso de Goiás,GO,16
Minaçu,GO,18
Mineiros,GO,22
Moiporá,GO,14
Monte Alegre de Goiás,GO,14
Montes Claros de Goiás,GO,12
Montividiu,GO,16
Montividiu do Norte,GO,20
Morrinhos,GO,18
Morro Agudo de Goiás,GO,16
Mossâmedes,GO,16
Mozarlândia,GO,14
Mundo Novo,GO,14
Mutunópolis,GO,18
Nazário,GO,16
Nerópolis,GO,16
Niquelândia,GO,18
Nova América,GO,16
Nova Aurora,GO,14
Nova Crixás,GO,16
Nova Glória,GO,16
Nova Iguaçu de Goiás,GO,14
Nova Roma,GO,12
Nova Veneza,GO,16
Novo Brasil,GO,12
Novo Gama,GO,16
Novo Planalto,GO,18
Orizona,GO,14
Ouro Verde de Goiás,GO,16
Ouvidor,GO,14
Padre Bernardo,GO,16
Palestina de Goiás,GO,14
Palmeiras de Goiás,GO,16
Palmelo,GO,12
Palminópolis,GO,16
Panamá,GO,14
Paranaiguara,GO,16
Paraúna,GO,14
Perolândia,GO,18
Petrolina de Goiás,GO,18
Pilar de Goiás,GO,16
Piracanjuba,GO,14
Piranhas,GO,14
Pirenópolis,GO,18
Pires do Rio,GO,14
Planaltina,GO,14
Pontalina,GO,16
Porangatu,GO,20
Porteirão,GO,16
Portelândia,GO,16
Posse,GO,18
Professor Jamil,GO,14
Quirinópolis,GO,16
Rialma,GO,22
Rianápolis,GO,22
Rio Quente,GO,16
Rio Verde,GO,18
Rubiataba,GO,18
Sanclerlândia,GO,14
Santa Bárbara de Goiás,GO,14
Santa Cruz de Goiás,GO,14
Santa Fé de Goiás,GO,12
Santa Helena de Goiás,GO,14
Santa Isabel,GO,20
Santa Rita do Araguaia,GO,20
Santa Rita do Novo Destino,GO,16
Santa Rosa de Goiás,GO,14
Santa Tereza de Goiás,GO,18
Santa Terezinha de Goiás,GO,16
Santo Antônio da Barra,GO,12
Santo Antônio de Goiás,GO,16
Santo Antônio do Descoberto,GO,16
Senador Canedo,GO,14
Serranópolis,GO,20
Silvânia,GO,16
Simolândia,GO,18
São Domingos,GO,16
São Francisco de Goiás,GO,18
São João da Paraúna,GO,14
São João d’Aliança,GO,14
São Luiz do Norte,GO,14
São Luís de Montes Belos,GO,16
São Miguel do Araguaia,GO,18
São Miguel do Passa Quatro,GO,14
São Patrício,GO,20
São Simão,GO,14
Sítio d’Abadia,GO,16
Taquaral de Goiás,GO,14
Teresina de Goiás,GO,10
Terezópolis de Goiás,GO,16
Trindade,GO,14
Trombas,GO,18
Três Ranchos,GO,12
Turvelândia,GO,16
Turvânia,GO,18
Uirapuru,GO,14
Uruana,GO,22
Uruaçu,GO,16
Urutaí,GO,12
Valparaíso de Goiás,GO,16
Varjão,GO,14
Vianópolis,GO,14
Vicentinópolis,GO,16
Vila Boa,GO,14
Vila Propício,GO,18
Água Fria de Goiás,GO,16
